Data,Timestamp,entrada
266.75,3444.38,10
266.47,3444.43,10
266.47,3444.49,10
266.47,3444.54,10
266.66,3444.59,10
266.47,3444.64,10
266.94,3444.7,10
266.84,3444.75,10
266.56,3444.8,10
266.47,3444.85,10
267.03,3444.91,10
266.84,3444.96,10
266.56,3445.01,10
266.56,3445.07,10
266.56,3445.12,10
266.56,3445.17,10
266.47,3445.23,10
267.03,3445.29,10
266.75,3445.34,10
266.66,3445.39,10
266.47,3445.44,10
266.66,3445.49,10
266.47,3445.55,10
267.12,3445.6,10
266.47,3445.65,10
267.5,3445.7,10
264.45,3445.76,10
267.88,3445.81,10
267.03,3445.86,10
267.31,3445.91,10
266.94,3445.97,10
266.75,3446.03,10
266.66,3446.08,10
267.31,3446.13,10
267.31,3446.18,10
266.94,3446.24,10
266.56,3446.29,10
266.94,3446.34,10
267.31,3446.39,10
267.03,3446.45,10
266.84,3446.5,10
266.56,3446.56,10
266.56,3446.61,10
267.03,3446.66,10
266.94,3446.71,10
266.94,3446.77,10
266.56,3446.82,10
266.47,3446.88,10
267.12,3446.93,10
266.56,3446.99,10
266.47,3447.04,10
266.47,3447.1,10
267.31,3447.16,10
266.47,3447.21,10
266.47,3447.26,10
267.22,3447.31,10
266.94,3447.37,10
262.39,3447.42,10
264.45,3447.48,10
267.78,3447.54,10
266.94,3447.59,10
266.75,3447.64,10
266.75,3447.7,10
266.47,3447.76,10
266.47,3447.81,10
266.75,3447.87,10
266.47,3447.92,10
266.66,3447.97,10
266.56,3448.02,10
266.94,3448.08,10
267.5,3448.14,10
266.84,3448.2,10
266.56,3448.25,10
267.5,3448.31,10
266.94,3448.36,10
267.03,3448.41,10
266.75,3448.47,10
267.69,3448.52,10
266.75,3448.57,10
266.75,3448.62,10
266.94,3448.68,10
266.94,3448.73,10
266.47,3448.78,10
266.66,3448.84,10
267.12,3448.89,10
266.94,3448.94,10
266.94,3448.99,10
267.97,3449.05,10
266.56,3449.11,10
267.12,3449.16,10
264.9,3449.22,10
272.36,3449.27,10
267.12,3449.33,10
266.47,3449.39,10
266.84,3449.44,10
266.94,3449.49,10
267.03,3449.55,10
266.75,3449.61,10
266.94,3449.66,10
267.31,3449.72,10
267.31,3449.77,10
266.56,3449.82,10
266.66,3449.88,10
266.66,3449.94,10
266.66,3449.99,10
266.75,3450.04,10
266.56,3450.1,10
266.47,3450.15,10
267.31,3450.2,10
266.47,3450.26,10
266.66,3450.31,10
267.12,3450.37,10
266.84,3450.42,10
267.41,3450.48,10
266.47,3450.53,10
266.56,3450.59,10
267.12,3450.64,10
267.03,3450.7,10
267.12,3450.75,10
267.69,3450.81,10
267.03,3450.87,10
266.75,3450.92,10
266.66,3450.97,10
265.55,3451.03,10
270.19,3451.09,10
267.03,3451.14,10
266.94,3451.19,10
266.47,3451.25,10
266.94,3451.31,10
266.75,3451.36,10
267.22,3451.42,10
267.31,3451.47,10
267.31,3451.53,10
266.47,3451.59,10
267.22,3451.64,10
267.22,3451.7,10
267.31,3451.76,10
267.03,3451.81,10
266.66,3451.87,10
266.56,3451.93,10
266.47,3451.98,10
266.94,3452.04,10
266.94,3452.1,10
266.56,3452.15,10
267.03,3452.2,10
266.47,3452.25,10
266.75,3452.3,10
266.66,3452.36,10
267.03,3452.41,10
267.5,3452.47,10
267.22,3452.52,10
266.94,3452.58,10
267.69,3452.63,10
267.88,3452.68,10
266.56,3452.74,10
264.81,3452.79,10
267.31,3452.84,10
266.75,3452.89,10
266.56,3452.95,10
266.84,3453.01,10
266.56,3453.07,10
266.47,3453.12,10
267.22,3453.17,10
266.56,3453.23,10
266.84,3453.28,10
266.66,3453.34,10
267.41,3453.4,10
266.94,3453.46,10
267.12,3453.51,10
266.47,3453.57,10
266.56,3453.62,10
267.03,3453.68,10
267.31,3453.73,10
266.94,3453.79,10
267.03,3453.84,10
266.75,3453.9,10
266.66,3453.95,10
266.47,3454.0,10
267.31,3454.05,10
266.75,3454.11,10
266.75,3454.16,10
266.94,3454.21,10
266.94,3454.27,10
267.31,3454.32,10
266.56,3454.37,10
267.69,3454.42,10
266.94,3454.48,10
266.94,3454.54,10
267.03,3454.59,10
264.0,3454.64,10
266.56,3454.7,10
266.56,3454.75,10
266.75,3454.8,10
266.66,3454.86,10
266.94,3454.91,10
266.66,3454.97,10
266.47,3455.02,10
266.84,3455.08,10
266.75,3455.13,10
266.56,3455.18,10
266.56,3455.24,10
266.47,3455.29,10
266.75,3455.35,10
267.03,3455.4,10
266.84,3455.46,10
266.47,3455.51,10
266.75,3455.57,10
